prompt_id,model_id,num_samples,num_valid,validity,uniq_valid,uniqueness_valid,unique_formulas,unique_spacegroups,top_formula,top_spacegroup,eval_csv
BaTiO3,baseline,200,200,1.0,3,0.015,1,3,BaTiO3(200),"221:Pm-3m(104), 99:P4mm(55), 123:P4/mmm(41)",reports/demo6_plus10k_n200/processed/BaTiO3/baseline/eval.csv
BaTiO3,,200,200,1.0,3,0.015,1,3,BaTiO3(200),"221:Pm-3m(104), 99:P4mm(55), 123:P4/mmm(41)",reports/demo6_plus10k_n200/processed/BaTiO3/mix10000/eval.csv
BaTiO3,,200,199,0.995,36,0.1809,25,18,"SrTiO2(62), TiO2(28), MgO(22), Fe2O3(18), SrTi2O2(13), ZnSO4(11), Al2O3(9), K2SO6(7), others(29)","11.0:P2_1/m(38), 59.0:Pmmn(37), 164.0:P-3m1(22), 194.0:P6_3/mmc(18), 139.0:I4/mmm(18), 25.0:Pmm2(14), 1.0:P1(10), 31.0:Pmn2_1(9), others(32)",reports/demo6_plus10k_n200/processed/BaTiO3/mix154/eval.csv
LiFePO4,baseline,200,200,1.0,7,0.035,3,5,"LiFePO4(194), LiFeP(O2F)2(3), LiFePO5(3)","1:P1(175), 6:Pm(21), 187:P-6m2(2), 10:P2/m(1), 2:P-1(1)",reports/demo6_plus10k_n200/processed/LiFePO4/baseline/eval.csv
LiFePO4,,200,200,1.0,7,0.035,3,5,"LiFePO4(194), LiFeP(O2F)2(3), LiFePO5(3)","1:P1(175), 6:Pm(21), 187:P-6m2(2), 10:P2/m(1), 2:P-1(1)",reports/demo6_plus10k_n200/processed/LiFePO4/mix10000/eval.csv
LiFePO4,,200,200,1.0,26,0.13,18,15,"Fe2O3(66), TiO2(39), LiF(30), MgO(17), SiO2(14), Al2O3F(8), FeO3(6), Fe2O3F(6), others(14)","164.0:P-3m1(74), 139.0:I4/mmm(53), 131.0:P4_2/mmc(18), 194.0:P6_3/mmc(11), 186.0:P6_3mc(10), 229.0:Im-3m(6), 129.0:P4/nmm(4), 6.0:Pm(4), others(16)",reports/demo6_plus10k_n200/processed/LiFePO4/mix154/eval.csv
Na2Cl2,baseline,200,200,1.0,32,0.16,9,21,"NaCl(159), NaClO3(12), NaClO2(8), NaClF2(6), NaClO(6), NaClO4(4), NaClF4(2), NaClF(2), others(1)","65:Cmmm(51), 129:P4/nmm(48), 194:P6_3/mmc(38), 59:Pmmn(9), 11:P2_1/m(9), 131:P4_2/mmc(8), 164:P-3m1(6), 1:P1(5), others(26)",reports/demo6_plus10k_n200/processed/Na2Cl2/baseline/eval.csv
Na2Cl2,,200,200,1.0,32,0.16,9,21,"NaCl(159), NaClO3(12), NaClO2(8), NaClF2(6), NaClO(6), NaClO4(4), NaClF4(2), NaClF(2), others(1)","65:Cmmm(51), 129:P4/nmm(48), 194:P6_3/mmc(38), 59:Pmmn(9), 11:P2_1/m(9), 131:P4_2/mmc(8), 164:P-3m1(6), 1:P1(5), others(26)",reports/demo6_plus10k_n200/processed/Na2Cl2/mix10000/eval.csv
Na2Cl2,,200,199,0.995,27,0.1357,17,12,"NaCl(64), NaClO3(59), NaClO2(35), NaClF(11), NaClO10(9), NaClF2(6), NaClO(3), NaClF3(2), others(10)","1.0:P1(46), 164.0:P-3m1(38), 59.0:Pmmn(32), 65.0:Cmmm(25), 129.0:P4/nmm(22), 121.0:I-42m(10), 194.0:P6_3/mmc(10), 131.0:P4_2/mmc(6), others(5)",reports/demo6_plus10k_n200/processed/Na2Cl2/mix154/eval.csv
